correct or no,Response Time,Correct (F/T),,,
,,,,,
1,2.957,TRUE,,,
1,1.838,TRUE,,Average Response Time,
1,1.486,TRUE,,1.267,
1,1.355,TRUE,,Score,
1,1.438,TRUE,,0.97,
1,1.437,TRUE,,False:,True:
1,1.437,TRUE,,5,163
1,1.421,TRUE,,,
1,1.021,TRUE,,,
1,1.23,TRUE,,,
1,1.398,TRUE,,,
1,1.128,TRUE,,,
1,1.348,TRUE,,,
1,1.944,TRUE,,,
1,1.555,TRUE,,,
1,1.374,TRUE,,,
1,0.88,TRUE,,,
1,3.015,TRUE,,,
1,1.526,TRUE,,,
1,2.482,TRUE,,,
1,1.704,TRUE,,,
1,1.452,TRUE,,,
1,1.163,TRUE,,,
1,2.839,TRUE,,,
1,1.261,TRUE,,,
1,1.3,TRUE,,,
1,1.995,TRUE,,,
1,0.771,TRUE,,,
1,1.486,TRUE,,,
1,3.099,TRUE,,,
1,1.63,TRUE,,,
1,0.726,TRUE,,,
1,0.835,TRUE,,,
1,1.499,TRUE,,,
1,1.049,TRUE,,,
1,1.177,TRUE,,,
1,2.148,TRUE,,,
1,1.062,TRUE,,,
1,1.478,TRUE,,,
1,1.203,TRUE,,,
1,0.684,TRUE,,,
1,0.667,TRUE,,,
1,0.634,TRUE,,,
1,1.275,TRUE,,,
1,1.265,TRUE,,,
1,1.385,TRUE,,,
1,1.579,TRUE,,,
0,1.189,FALSE,,,
1,1.039,TRUE,,,
1,0.655,TRUE,,,
1,1.374,TRUE,,,
1,0.992,TRUE,,,
1,1.49,TRUE,,,
1,0.928,TRUE,,,
1,1.844,TRUE,,,
1,0.659,TRUE,,,
1,1.507,TRUE,,,
1,1.105,TRUE,,,
1,0.638,TRUE,,,
1,0.654,TRUE,,,
1,1.997,TRUE,,,
1,0.647,TRUE,,,
1,1.303,TRUE,,,
1,1.004,TRUE,,,
1,1.325,TRUE,,,
1,1.873,TRUE,,,
1,1.103,TRUE,,,
1,2.429,TRUE,,,
1,0.996,TRUE,,,
1,0.614,TRUE,,,
1,0.791,TRUE,,,
1,1.986,TRUE,,,
1,0.667,TRUE,,,
1,0.826,TRUE,,,
1,2.179,TRUE,,,
1,0.676,TRUE,,,
1,1.668,TRUE,,,
1,1.883,TRUE,,,
1,1.416,TRUE,,,
1,1.001,TRUE,,,
1,1.179,TRUE,,,
1,1.093,TRUE,,,
1,1.571,TRUE,,,
1,1.342,TRUE,,,
1,0.994,TRUE,,,
1,1.011,TRUE,,,
1,2.149,TRUE,,,
1,1.111,TRUE,,,
1,0.805,TRUE,,,
1,1.742,TRUE,,,
1,1.025,TRUE,,,
1,2.05,TRUE,,,
1,1.241,TRUE,,,
1,1.057,TRUE,,,
1,0.752,TRUE,,,
1,2.236,TRUE,,,
1,1.738,TRUE,,,
1,0.686,TRUE,,,
1,1.228,TRUE,,,
1,0.949,TRUE,,,
1,0.553,TRUE,,,
1,1.565,TRUE,,,
1,3.207,TRUE,,,
1,0.926,TRUE,,,
1,1.091,TRUE,,,
1,0.961,TRUE,,,
1,1.077,TRUE,,,
1,1.107,TRUE,,,
1,1.168,TRUE,,,
1,1.098,TRUE,,,
1,1,TRUE,,,
1,1.147,TRUE,,,
1,0.774,TRUE,,,
1,1.009,TRUE,,,
1,0.93,TRUE,,,
0,1.064,FALSE,,,
1,2.199,TRUE,,,
1,1.176,TRUE,,,
1,1.377,TRUE,,,
1,1.476,TRUE,,,
1,1.026,TRUE,,,
1,1.059,TRUE,,,
1,0.706,TRUE,,,
1,1.183,TRUE,,,
1,0.906,TRUE,,,
1,0.703,TRUE,,,
1,0.91,TRUE,,,
1,0.834,TRUE,,,
1,1.29,TRUE,,,
1,1.2,TRUE,,,
1,1.546,TRUE,,,
1,1.254,TRUE,,,
1,0.973,TRUE,,,
1,3.344,TRUE,,,
1,1.937,TRUE,,,
1,0.556,TRUE,,,
1,0.96,TRUE,,,
1,0.579,TRUE,,,
1,0.535,TRUE,,,
1,0.491,TRUE,,,
1,0.961,TRUE,,,
1,0.485,TRUE,,,
1,1.195,TRUE,,,
1,0.692,TRUE,,,
1,1.011,TRUE,,,
0,0.916,FALSE,,,
1,2.666,TRUE,,,
1,0.727,TRUE,,,
1,1.141,TRUE,,,
1,1.201,TRUE,,,
1,1.13,TRUE,,,
1,0.679,TRUE,,,
0,1.093,FALSE,,,
1,2.451,TRUE,,,
1,0.474,TRUE,,,
1,0.641,TRUE,,,
1,0.625,TRUE,,,
1,0.994,TRUE,,,
1,1.796,TRUE,,,
1,1.526,TRUE,,,
1,0.818,TRUE,,,
1,0.475,TRUE,,,
1,0.578,TRUE,,,
1,1.349,TRUE,,,
1,0.649,TRUE,,,
1,1.465,TRUE,,,
1,0.952,TRUE,,,
0,,FALSE,,,
