word,colour,corrAns,congruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,StroopTestLoop.thisRepN,StroopTestLoop.thisTrialN,StroopTestLoop.thisN,StroopTestLoop.thisIndex,thisRow.t,notes,instruction.started,instrText.started,key_resp.started,LightSensorTrggr_5.started,LightSensorTrggr_5.stopped,instruction.stopped,Trial.started,TrialsInstruction.started,TrialsTarget.started,TrialsResponse.started,LightSensorTrggr_4.started,skip_button.started,LightSensorTrggr_4.stopped,Trial.stopped,TrialsResponse.keys,TrialsResponse.corr,TrialsResponse.rt,TrialsResponse.duration,skip_button.keys,feedbackPos.started,textFeedbackPos.started,textFeedbackPos.stopped,feedbackPos.stopped,feedbackNeg.started,feedbackNeg.stopped,textFeedbackNeg.started,textFeedbackNeg.stopped,begin_experiment.started,beginText.started,LightSensorTrggr_6.started,LightSensorTrggr_6.stopped,begin_experiment.stopped,Rest_Time.started,text.started,LightSensorTrggr_2.started,skip_button_2.started,LightSensorTrggr_2.stopped,skip_button_2.stopped,Rest_Time.stopped,skip_button_2.keys,StroopTest.started,TestInstruction.started,target.started,response.started,LightSensorTrggr.started,LightSensorTrggr.stopped,StroopTest.stopped,response.keys,response.corr,response.rt,response.duration,TestFeedbackPos.started,testFeedbackPos.started,testFeedbackPos.stopped,TestFeedbackPos.stopped,TestFeedbackNeg.started,TestFeedbackNeg.stopped,testFeedbackNeg.started,testFeedbackNeg.stopped,finished.started,farewelText.started,LightSensorTrggr_3.started,key_resp_3.started,LightSensorTrggr_3.stopped,finished.stopped,key_resp_3.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
xxxxx,blue,right,,0,0,0,2,,,,,10.028396699999576,,0.0035792999988188967,0.019502899998769863,0.019502899998769863,0.019502899998769863,0.11963420000029146,10.011810199999672,10.015569299999697,10.028396699999576,10.028396699999576,10.028396699999576,10.028396699999576,10.028396699999576,10.128554599999916,12.898297399999137,right,1,2.860284699998374,None,None,12.898807399998987,12.914354700000331,13.414825599998949,13.398273999999219,13.398280699999304,13.398291499999686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B68,001,2023-10-19_10h08.29.084,stroopv1,2023.2.3,59.92297500783463,2023-10-19 10h08.34.188420 +0900,
xxxxx,red,left,,0,1,1,0,,,,,13.414825599998949,,,,,,,,13.398429099999703,13.414825599998949,13.414825599998949,13.414825599998949,13.414825599998949,13.414825599998949,13.514906799999153,15.45034940000005,left,1,2.033336100001179,None,None,15.450520000000324,15.466649599999073,15.967149399999471,15.950587899998936,15.950594199999614,15.950603899998896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B68,001,2023-10-19_10h08.29.084,stroopv1,2023.2.3,59.92297500783463,2023-10-19 10h08.34.188420 +0900,
xxxxx,green,down,,0,2,2,1,,,,,15.967149399999471,,,,,,,,15.950744899999336,15.967149399999471,15.967149399999471,15.967149399999471,15.967149399999471,15.967149399999471,16.06719410000005,17.569115500000407,right,0,1.5930210999995325,None,None,17.569309200000134,,,17.569327799999883,17.56933199999912,18.06919679999919,17.585183999999572,18.085661600000094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B68,001,2023-10-19_10h08.29.084,stroopv1,2023.2.3,59.92297500783463,2023-10-19 10h08.34.188420 +0900,
xxxxx,blue,right,,1,0,3,2,,,,,18.085661600000094,,,,,,,,18.069431099998837,18.085661600000094,18.085661600000094,18.085661600000094,18.085661600000094,18.085661600000094,18.185755999998946,19.73790360000021,right,1,1.6512392999993608,None,None,19.738083799999004,19.754078899999513,20.25426719999996,20.237776099998882,20.237788700000237,20.23781190000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B68,001,2023-10-19_10h08.29.084,stroopv1,2023.2.3,59.92297500783463,2023-10-19 10h08.34.188420 +0900,
xxxxx,red,left,,1,1,4,0,,,,,20.25426719999996,,,,,,,,20.2379820999995,20.25426719999996,20.25426719999996,20.25426719999996,20.25426719999996,20.25426719999996,20.354357700000037,21.10558949999904,left,1,0.842144999998709,None,None,21.10578170000008,21.121737699999358,21.622182899998734,21.60572929999944,21.605734900000243,21.605744499998764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B68,001,2023-10-19_10h08.29.084,stroopv1,2023.2.3,59.92297500783463,2023-10-19 10h08.34.188420 +0900,
xxxxx,green,down,,1,2,5,1,,,,,21.622182899998734,,,,,,,,21.605876499999795,21.622182899998734,21.622182899998734,21.622182899998734,21.622182899998734,21.622182899998734,21.722256600000037,22.856929600000512,down,1,1.218418999998903,None,None,22.85709069999939,22.87328069999967,23.37375500000053,23.357249499998943,23.357262300000002,23.357284300000174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B68,001,2023-10-19_10h08.29.084,stroopv1,2023.2.3,59.92297500783463,2023-10-19 10h08.34.188420 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.35732680000001,23.37375500000053,23.37375500000053,23.47401340000033,28.361554899998737,28.361561100000472,28.3782056,28.3782056,28.3782056,28.478294200000164,31.38092349999897,328.36324869999953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,B68,001,2023-10-19_10h08.29.084,stroopv1,2023.2.3,59.92297500783463,2023-10-19 10h08.34.188420 +0900,
green,green,down,1,,,,,0,0,0,4,328.3798920999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.37074419999954,328.3798920999998,328.3798920999998,328.3798920999998,328.3798920999998,328.47993730000053,331.34965399999965,down,1,2.956962999998723,None,331.35538110000016,331.3658598000002,331.8662841999994,331.84985190000043,331.8498579999996,331.8498688999989,,,,,,,,,,B68,001,2023-10-19_10h08.29.084,stroopv1,2023.2.3,59.92297500783463,2023-10-19 10h08.34.188420 +0900,
blue,red,left,0,,,,,0,1,1,6,331.8662841999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.8511488999993,331.8662841999994,331.8662841999994,331.8662841999994,331.8662841999994,331.9663892999997,333.71842169999945,left,1,1.8383827999987261,None,333.7211437999995,333.7346699999998,334.2351051000005,334.21863159999884,334.218644999999,334.2186674000004,,,,,,,,,,B68,001,2023-10-19_10h08.29.084,stroopv1,2023.2.3,59.92297500783463,2023-10-19 10h08.34.188420 +0900,
blue,green,down,0,,,,,0,2,2,7,334.2351051000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.22012619999987,334.2351051000005,334.2351051000005,334.2351051000005,334.2351051000005,334.33520849999877,335.73687339999924,down,1,1.4858280999997078,None,335.7394497999994,335.75312080000003,336.2535790999991,336.23711509999885,336.2371213999995,336.2371321999999,,,,,,,,,,B68,001,2023-10-19_10h08.29.084,stroopv1,2023.2.3,59.92297500783463,2023-10-19 10h08.34.188420 +0900,
green,red,left,0,,,,,0,3,3,3,336.2535790999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.23841829999947,336.2535790999991,336.2535790999991,336.2535790999991,336.2535790999991,336.3537204999993,337.62178529999983,left,1,1.3549458000015875,None,337.62426889999915,337.63813970000047,338.1386975000005,338.1222151000002,338.1222216999995,338.12223189999895,,,,,,,,,,B68,001,2023-10-19_10h08.29.084,stroopv1,2023.2.3,59.92297500783463,2023-10-19 10h08.34.188420 +0900,
red,red,left,1,,,,,0,4,4,0,338.1386975000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.1235323000001,338.1386975000005,338.1386975000005,338.1386975000005,338.1386975000005,338.23922349999884,339.59019499999886,left,1,1.4382449000004272,None,339.59271269999954,339.6065620999998,340.10701169999993,340.0905287000005,340.09053549999953,340.09054599999945,,,,,,,,,,B68,001,2023-10-19_10h08.29.084,stroopv1,2023.2.3,59.92297500783463,2023-10-19 10h08.34.188420 +0900,
