Response Time,Correct (F/T),,,
,,,,
9.99,FALSE,,Average Response Time,
6.39,TRUE,,6.664,
9.99,FALSE,,Score,
7.88,TRUE,,0.76,
7.39,TRUE,,False:,True:
7.94,FALSE,,10,32
6.17,TRUE,,,
6.14,TRUE,,,
3.16,TRUE,,,
8.59,TRUE,,,
2.91,TRUE,,,
8.69,TRUE,,,
5.71,TRUE,,,
1.54,TRUE,,,
8.94,FALSE,,,
7.88,TRUE,,,
6.94,TRUE,,,
8.16,TRUE,,,
7.34,TRUE,,,
5.93,FALSE,,,
4.11,TRUE,,,
7.09,TRUE,,,
7.94,TRUE,,,
9.78,TRUE,,,
7.93,TRUE,,,
4.69,TRUE,,,
4.17,TRUE,,,
9.99,FALSE,,,
9.49,TRUE,,,
9.56,TRUE,,,
2.59,TRUE,,,
9.99,FALSE,,,
7.64,TRUE,,,
4.39,TRUE,,,
2.42,TRUE,,,
9.99,FALSE,,,
4.91,TRUE,,,
1.22,TRUE,,,
10,FALSE,,,
5.26,TRUE,,,
9.04,TRUE,,,
0,FALSE,,,
