correct or no,Response Time,Correct (F/T),,,
,,,,,
1,2.425,TRUE,,,
1,1.28,TRUE,,Average Response Time,
1,0.535,TRUE,,0.732,
1,0.507,TRUE,,Score,
1,0.48,TRUE,,0.92,
1,1.103,TRUE,,False:,True:
1,0.572,TRUE,,18,221
1,0.463,TRUE,,,
1,0.439,TRUE,,,
1,0.431,TRUE,,,
1,0.425,TRUE,,,
1,0.593,TRUE,,,
0,0.596,FALSE,,,
1,0.79,TRUE,,,
1,0.721,TRUE,,,
1,1.373,TRUE,,,
1,1.776,TRUE,,,
1,1.985,TRUE,,,
0,0.634,FALSE,,,
1,1.259,TRUE,,,
1,0.962,TRUE,,,
1,0.757,TRUE,,,
1,0.657,TRUE,,,
1,0.513,TRUE,,,
1,0.79,TRUE,,,
1,0.545,TRUE,,,
1,0.58,TRUE,,,
1,1.24,TRUE,,,
1,2.143,TRUE,,,
1,0.45,TRUE,,,
1,0.539,TRUE,,,
1,0.463,TRUE,,,
1,0.487,TRUE,,,
0,0.509,FALSE,,,
1,2.308,TRUE,,,
1,0.543,TRUE,,,
1,0.516,TRUE,,,
1,0.474,TRUE,,,
1,0.609,TRUE,,,
1,0.578,TRUE,,,
1,0.693,TRUE,,,
1,1.076,TRUE,,,
0,0.674,FALSE,,,
1,0.721,TRUE,,,
1,0.462,TRUE,,,
1,0.726,TRUE,,,
1,0.499,TRUE,,,
1,0.6,TRUE,,,
1,0.666,TRUE,,,
1,0.554,TRUE,,,
1,0.494,TRUE,,,
1,0.726,TRUE,,,
1,0.434,TRUE,,,
1,0.683,TRUE,,,
1,0.938,TRUE,,,
1,1.117,TRUE,,,
1,0.539,TRUE,,,
1,0.687,TRUE,,,
1,0.638,TRUE,,,
1,0.605,TRUE,,,
1,0.511,TRUE,,,
1,0.709,TRUE,,,
1,0.643,TRUE,,,
1,0.659,TRUE,,,
1,0.547,TRUE,,,
1,0.823,TRUE,,,
1,0.544,TRUE,,,
1,0.884,TRUE,,,
1,0.555,TRUE,,,
1,0.526,TRUE,,,
1,1.044,TRUE,,,
1,1.028,TRUE,,,
1,0.644,TRUE,,,
1,0.613,TRUE,,,
1,0.614,TRUE,,,
1,0.792,TRUE,,,
1,1.201,TRUE,,,
1,0.731,TRUE,,,
1,0.567,TRUE,,,
1,0.619,TRUE,,,
1,0.588,TRUE,,,
0,0.446,FALSE,,,
0,0.71,FALSE,,,
1,0.532,TRUE,,,
1,0.505,TRUE,,,
1,0.543,TRUE,,,
1,0.531,TRUE,,,
1,0.489,TRUE,,,
1,0.511,TRUE,,,
1,0.853,TRUE,,,
1,0.54,TRUE,,,
1,0.672,TRUE,,,
1,0.895,TRUE,,,
1,0.613,TRUE,,,
1,0.583,TRUE,,,
1,3.642,TRUE,,,
1,0.623,TRUE,,,
1,0.705,TRUE,,,
1,1.182,TRUE,,,
1,0.473,TRUE,,,
1,0.464,TRUE,,,
1,0.471,TRUE,,,
1,0.495,TRUE,,,
1,0.421,TRUE,,,
0,0.462,FALSE,,,
1,0.662,TRUE,,,
1,0.502,TRUE,,,
1,0.588,TRUE,,,
1,0.398,TRUE,,,
1,0.744,TRUE,,,
1,0.597,TRUE,,,
1,0.759,TRUE,,,
1,0.931,TRUE,,,
1,1.079,TRUE,,,
1,0.534,TRUE,,,
1,0.65,TRUE,,,
1,0.57,TRUE,,,
1,0.494,TRUE,,,
1,0.468,TRUE,,,
1,0.747,TRUE,,,
1,0.455,TRUE,,,
1,1.087,TRUE,,,
1,0.637,TRUE,,,
1,0.429,TRUE,,,
1,0.517,TRUE,,,
1,0.427,TRUE,,,
1,0.5,TRUE,,,
1,0.555,TRUE,,,
1,0.59,TRUE,,,
0,0.449,FALSE,,,
1,0.505,TRUE,,,
1,0.479,TRUE,,,
1,0.438,TRUE,,,
1,0.351,TRUE,,,
1,0.474,TRUE,,,
1,0.481,TRUE,,,
1,0.489,TRUE,,,
1,0.703,TRUE,,,
1,0.476,TRUE,,,
1,0.451,TRUE,,,
1,0.732,TRUE,,,
1,0.409,TRUE,,,
1,0.658,TRUE,,,
1,0.561,TRUE,,,
1,0.454,TRUE,,,
1,0.541,TRUE,,,
1,0.433,TRUE,,,
1,0.507,TRUE,,,
1,0.577,TRUE,,,
0,0.676,FALSE,,,
1,0.546,TRUE,,,
1,0.839,TRUE,,,
1,0.671,TRUE,,,
1,0.414,TRUE,,,
1,0.44,TRUE,,,
1,0.497,TRUE,,,
0,0.455,FALSE,,,
0,0.446,FALSE,,,
1,0.487,TRUE,,,
1,0.893,TRUE,,,
1,1.684,TRUE,,,
1,0.778,TRUE,,,
1,0.5,TRUE,,,
1,0.459,TRUE,,,
1,0.514,TRUE,,,
1,0.68,TRUE,,,
1,0.743,TRUE,,,
0,0.772,FALSE,,,
1,0.702,TRUE,,,
0,0.428,FALSE,,,
1,0.565,TRUE,,,
1,0.409,TRUE,,,
1,0.498,TRUE,,,
1,0.521,TRUE,,,
1,0.558,TRUE,,,
1,0.818,TRUE,,,
1,0.619,TRUE,,,
1,0.524,TRUE,,,
1,0.464,TRUE,,,
1,0.552,TRUE,,,
1,0.508,TRUE,,,
1,0.418,TRUE,,,
1,0.555,TRUE,,,
1,0.574,TRUE,,,
1,0.546,TRUE,,,
1,0.886,TRUE,,,
1,0.732,TRUE,,,
1,0.569,TRUE,,,
1,0.588,TRUE,,,
1,0.558,TRUE,,,
1,0.626,TRUE,,,
1,0.643,TRUE,,,
1,0.851,TRUE,,,
1,0.492,TRUE,,,
0,0.498,FALSE,,,
1,0.92,TRUE,,,
1,0.685,TRUE,,,
1,0.524,TRUE,,,
1,0.496,TRUE,,,
1,0.502,TRUE,,,
1,0.413,TRUE,,,
1,0.454,TRUE,,,
1,1.134,TRUE,,,
1,1.931,TRUE,,,
1,0.822,TRUE,,,
1,1.408,TRUE,,,
0,4.987,FALSE,,,
0,2.752,FALSE,,,
1,1.499,TRUE,,,
1,0.631,TRUE,,,
1,0.569,TRUE,,,
1,0.795,TRUE,,,
1,1.078,TRUE,,,
1,1.156,TRUE,,,
0,0.88,FALSE,,,
1,0.904,TRUE,,,
1,0.893,TRUE,,,
1,0.546,TRUE,,,
1,0.519,TRUE,,,
1,0.443,TRUE,,,
1,0.452,TRUE,,,
1,0.556,TRUE,,,
1,0.511,TRUE,,,
1,0.901,TRUE,,,
1,1.163,TRUE,,,
1,0.805,TRUE,,,
1,0.623,TRUE,,,
1,0.624,TRUE,,,
1,1.777,TRUE,,,
1,0.851,TRUE,,,
1,0.987,TRUE,,,
1,1.038,TRUE,,,
1,0.781,TRUE,,,
1,0.888,TRUE,,,
1,0.654,TRUE,,,
1,0.637,TRUE,,,
1,0.782,TRUE,,,
1,0.504,TRUE,,,
0,0.366,FALSE,,,
